1,PB&Banana Dog Biscuits,pet,20,2,8.8,5,21.3,36,2.2,,
2,Big Apple Pie Dog Biscuits,pet,17,4,3.2,5,18.2,6,1.8,22,0.3
3,Gingerbread Dog Biscuits,pet,2,5,100,,,,,,
4,Original Dog Dental Chews,pet,5,5,75,,,,,,
5,Bully Stick,pet,30,10,3.9,50,2.1,51,0.9,,
6,Grain-free Chicken Jerky Treats,pet,4,,,,,,,,
7,Pet Food Container,pet,68,8,1.1,10,2.3,,,,
8,One Press Seal Large Container,household,2,9,50,,,,,,
9,Zip'N Steam Cooking Bags,household,67,11,2.5,14,3.3,21,0.6,,
10,Tall Kitchen Trash Bags,household,29,11,29.3,12,12.3,,,,
11,Air Freshener,household,3,,,,,,,,
12,Soy Candle,household,20,13,2.2,14,1.6,,,,
13,Natural Hand Wash,household,48,14,42.9,,,,,,
14,Hand Wash Refill,household,5,,,,,,,,
15,Dish Soap,household,2,16,48.2,17,3.9,,,,
16,Dish Soap Refill,household,5,,,,,,,,
17,Hand Cream,personalcare,29,22,3.2,,,,,,
18,Moisturizing Cream,personalcare,1,,,,,,,,
19,Ultimate Healing Foot Cream,personalcare,29,24,5.3,,,,,,
20,Daily Moisturizing Lotion,personalcare,5,22,60,,,,,,
21,Cotton Swabs,personalcare,68,,,,,,,,
22,Body Wash,personalcare,27,,,,,,,,
23,Healing Ointment Jar for Baby,baby,93,25,45.9,28,3.4,29,38.4,,
24,Scar Oil,personalcare,28,,,,,,,,
25,Maximum Strength Diaper Rash Paste,baby,57,28,2.5,29,32.9,,,,
26,Body Mist,personalcare,3,,,,,,,,
27,Firming Body Moisturizer,personalcare,6,,,,,,,,
28,Baby Sunscreen Stick,baby,10,29,42.7,,,,,,
29,Baby Wash & Shampoo,baby,23,,,,,,,,
30,Coconut Milk Nourishing Shampoo,personalcare,48,32,0.2,,,,,,
31,2 in 1 Shampoo/Conditioner For Men,personalcare,2,,,,,,,,
32,Tea Tree Triple Treat Conditioner,personalcare,59,,,,,,,,
33,Advil,medicine,100,43,12.9,39,8.2,48,34.5,44,9.8
34,Tylenol Regular Strength,medicine,28,41,11.2,43,9.6,48,10.9,,
35,NyQuil,medicine,57,43,10.2,48,28.1,,,,
36,Band-aids,medicine,18,37,0.8,,,,,,
37,Wart Removal,medicine,2,,,,,,,,
38,Dry Eye Relief,medicine,3,,,,,,,,
39,Sleeping Pills,medicine,4,43,25,44,50,,,,
40,English Breakfast Tea,grocery,27,45,29.3,46,21,47,18,,
41,Pure Peppermint Tea,grocery,5,,,,,,,,
42,Jasmine Green Tea,grocery,19,,,,,,,,
43,Honey & Vanilla Chamomile Tea,grocery,2,48,100,,,,,,
44,Sleepytime Sinus Soother Tea Bags,grocery,38,48,49,,,,,,
45,House Blend Ground Coffee,grocery,10,50,2,,,,,,
46,Comlombia Roast Ground Coffee,grocery,3,50,33.33,,,,,,
47,Toasted Hazelnut Ground Coffee,grocery,58,49,42,,,,,,
48,Vitamin C Fruit Drops,grocery,27,,,,,,,,
49,Cornflake,grocery,5,,,,,,,,
50,Instant Oatmeal,grocery,37,,,,,,,,
51,Peanut Butter,grocery,10,52,50,53,24,,,,
52,Strawberry Jam,grocery,28,,,,,,,,
53,Pancake Mixes,grocery,5,,,,,,,,
